year,exporter_continent,value_B_USD,exporter_continent_nl
2014,South America,0.3639603149912159,Zuid-Amerika
2015,Africa,1.4644298163360407e-4,Afrika
2015,Asia,0.12210799379539373,Azië
2015,Europe,0.12422123455428358,Europa
2015,North America,0.08970829763196668,Noord-Amerika
2015,Oceania,3.0283186705843922e-5,Oceanië
2015,South America,0.38358888676217984,Zuid-Amerika
2016,Africa,2.8086535749861067e-4,Afrika
2016,Antarctica,1.8709200717155502e-5,Antarctica
2016,Asia,0.2457981596509424,Azië
2016,Europe,0.24581095727083946,Europa
2016,North America,0.09152749172392334,Noord-Amerika
2016,Oceania,4.109414052798534e-4,Oceanië
2016,South America,0.7771365541837962,Zuid-Amerika
2017,Africa,0.0013974612586332628,Afrika
2017,Asia,0.41624484379174603,Azië
2017,Europe,0.32720735565195025,Europa
2017,North America,0.14339158749849182,Noord-Amerika
2017,Oceania,1.8143731619741494e-4,Oceanië
2017,South America,1.0581940645717567,Zuid-Amerika
2018,Africa,0.0014532170577321313,Afrika
2018,Asia,0.7014457686261434,Azië
2018,Europe,0.4079021924865537,Europa
2018,North America,0.1919132966599552,Noord-Amerika
2018,Oceania,1.3925377968476433e-4,Oceanië
2018,South America,1.5062216970560163,Zuid-Amerika
