year,exporter_continent,value_B_USD,exporter_continent_nl
2012,South America,0.293218691085904,Zuid-Amerika
2013,Africa,0.2881047307879874,Afrika
2013,Antarctica,6.3627e-5,Antarctica
2013,Asia,24.87956733139921,Azië
2013,Europe,13.755096649908921,Europa
2013,North America,5.119596134966789,Noord-Amerika
2013,Oceania,0.0593561313034184,Oceanië
2013,South America,0.2916443177705754,Zuid-Amerika
2014,Africa,0.2727696833410987,Afrika
2014,Antarctica,1.952963715897957e-4,Antarctica
2014,Asia,27.008329426674145,Azië
2014,Europe,13.450815754111533,Europa
2014,North America,5.427814444884883,Noord-Amerika
2014,Oceania,0.0778843545668785,Oceanië
2014,South America,0.3092965641320706,Zuid-Amerika
2015,Africa,0.23947523719267305,Afrika
2015,Antarctica,1.346535045822326e-4,Antarctica
2015,Asia,28.12280728508579,Azië
2015,Europe,12.23632970810829,Europa
2015,North America,5.499476753071762,Noord-Amerika
2015,Oceania,0.06607257596743177,Oceanië
2015,South America,0.29338844322382596,Zuid-Amerika
2016,Africa,0.21939644998532984,Afrika
2016,Antarctica,1.02812e-4,Antarctica
2016,Asia,29.001570041285675,Azië
2016,Europe,13.337446858861068,Europa
2016,North America,4.921687410181835,Noord-Amerika
2016,Oceania,0.06216562805433434,Oceanië
2016,South America,0.3029809450356342,Zuid-Amerika
2017,Africa,0.1740512198432141,Afrika
2017,Antarctica,8.996299999999999e-5,Antarctica
2017,Asia,33.29959973145877,Azië
2017,Europe,15.357195350713557,Europa
2017,North America,5.636924896200732,Noord-Amerika
2017,Oceania,0.050394103718655596,Oceanië
2017,South America,0.31843680520629375,Zuid-Amerika
2018,Africa,0.1514035274280868,Afrika
2018,Antarctica,8.775100000000001e-5,Antarctica
2018,Asia,39.20064380803094,Azië
2018,Europe,17.574304663477758,Europa
2018,North America,6.035196334493898,Noord-Amerika
2018,Oceania,0.06341005582664938,Oceanië
2018,South America,0.3107468738655789,Zuid-Amerika
