year,exporter_name,value_B_USD,exporter_name_nl
2007,Germany,0.025089203573812724,Duitsland
2007,Netherlands,0.005121436122620218,Nederland
2007,Russian Federation,0.004838196867929731,Rusland
2007,United Kingdom,0.0032368621605847305,VK
2007,USA,0.05746566497396111,VS
2008,Argentina,0.051707830449777635,Argentinië
2008,Belgium-Luxembourg,0.03087207870330909,Bel-Lux
2008,Canada,0.0036061566151699784,Canada
2008,Chile,0.27543360669871797,Chili
2008,China,0.036791330407936286,China
2008,Germany,0.035276145997357976,Duitsland
2008,Netherlands,0.006964530644116436,Nederland
2008,Russian Federation,0.0042919976888268424,Rusland
2008,United Kingdom,0.0023718609159872573,VK
2008,USA,0.06417189789958239,VS
2009,Argentina,0.040694560271231715,Argentinië
2009,Belgium-Luxembourg,0.0221736529155915,Bel-Lux
2009,Canada,5.687996416851753e-4,Canada
2009,Chile,0.1522493555590314,Chili
2009,China,0.029134236447234178,China
2009,Germany,0.02573732700262686,Duitsland
2009,Netherlands,0.003353635216122873,Nederland
2009,Russian Federation,0.004833080818090704,Rusland
2009,United Kingdom,0.004821832271071927,VK
2009,USA,0.04551376104334203,VS
2010,Argentina,0.04893652775941986,Argentinië
2010,Belgium-Luxembourg,0.03165796079465909,Bel-Lux
2010,Canada,2.729300633870619e-4,Canada
2010,Chile,0.2224042195327845,Chili
2010,China,0.036582769516062465,China
2010,Germany,0.025937946110921047,Duitsland
2010,Netherlands,0.0019119230529108877,Nederland
2010,Russian Federation,0.004860893936431537,Rusland
2010,United Kingdom,0.0022683168240790054,VK
2010,USA,0.0593494364386342,VS
2011,Argentina,0.03918394069520177,Argentinië
2011,Belgium-Luxembourg,0.03667927247347542,Bel-Lux
2011,Canada,0.0015230437757978218,Canada
2011,Chile,0.2641581420967408,Chili
2011,China,0.05982101392494545,China
2011,Germany,0.03149780573267713,Duitsland
2011,Netherlands,0.00446493507294331,Nederland
2011,Russian Federation,0.012979197212826834,Rusland
2011,United Kingdom,0.004352043642475053,VK
2011,USA,0.0574129117315045,VS
2012,Argentina,0.041546190526418815,Argentinië
2012,Belgium-Luxembourg,0.04030161315643044,Bel-Lux
2012,Canada,0.0010636215592010447,Canada
2012,Chile,0.30755195203494934,Chili
2012,China,0.04716312036510681,China
2012,Germany,0.026213200126153108,Duitsland
2012,Netherlands,0.0037489469234741448,Nederland
2012,Russian Federation,0.04481786859613146,Rusland
2012,United Kingdom,0.0075274270108013,VK
2012,USA,0.0662907538880545,VS
2013,Argentina,0.04203109638249928,Argentinië
2013,Belgium-Luxembourg,0.053626606530077996,Bel-Lux
2013,Canada,6.955392234166095e-4,Canada
2013,Chile,0.294318924996528,Chili
2013,China,0.04458651637861307,China
2013,Germany,0.03604826641604722,Duitsland
2013,Netherlands,0.004511821688791093,Nederland
2013,Russian Federation,0.024386506312882257,Rusland
2013,United Kingdom,0.005051729041200365,VK
2013,USA,0.06014368378058625,VS
2014,Argentina,0.05410214572882866,Argentinië
2014,Belgium-Luxembourg,0.042222673966576516,Bel-Lux
2014,Canada,0.001776725310243303,Canada
2014,Chile,0.3092227376203567,Chili
2014,China,0.06492274153677455,China
2014,Germany,0.040445087510714,Duitsland
2014,Netherlands,0.005991623151616077,Nederland
2014,Russian Federation,0.0445087928042205,Rusland
2014,United Kingdom,0.00447663219728319,VK
2014,USA,0.07110530528567142,VS
2015,Argentina,0.06806281260942565,Argentinië
2015,Belgium-Luxembourg,0.051835110383604915,Bel-Lux
2015,Canada,4.311215760960769e-4,Canada
2015,Chile,0.31539217654693297,Chili
2015,China,0.08970627215960633,China
2015,Germany,0.03203526000026055,Duitsland
2015,Netherlands,0.0036456426291701354,Nederland
2015,Russian Federation,0.048717981806066804,Rusland
2015,United Kingdom,0.002745850256027488,VK
2015,USA,0.08912999305587059,VS
2016,Argentina,0.17964919522243888,Argentinië
2016,Belgium-Luxembourg,0.11409338859225222,Bel-Lux
2016,Canada,9.526783094445474e-4,Canada
2016,Chile,0.5973055378169538,Chili
2016,China,0.1786811300892794,China
