year,exporter_name,value_B_USD,exporter_name_nl
1995,China,0.44495953519204645,China
1995,Germany,0.9550901846840868,Duitsland
1995,Japan,2.7750326581085325,Japan
1995,Malaysia,0.08284788890584383,Maleisië
1995,Mexico,0.3794657195363316,Mexico
1995,Poland,0.012710601597869131,Polen
1995,Rep. of Korea,0.3021835605944646,Zuid-Korea
1995,Singapore,0.299896963692196,Singapore
1995,USA,1.1260175377231707,VS
1995,Viet Nam,6.40874708804148e-6,Vietnam
1996,China,0.6469708589968287,China
1996,Germany,0.9500434011389132,Duitsland
1996,Japan,2.5428371563036163,Japan
1996,Malaysia,0.07901104470017951,Maleisië
1996,Mexico,0.5104802767318369,Mexico
1996,Poland,0.05393849578873437,Polen
1996,Rep. of Korea,0.3310720253345665,Zuid-Korea
1996,Singapore,0.36109320055220506,Singapore
1996,USA,1.2601671144801143,VS
1996,Viet Nam,0.001280466954046929,Vietnam
1997,China,0.8180950009228811,China
1997,Germany,0.9308636469828868,Duitsland
1997,Japan,2.9695875746469533,Japan
1997,Malaysia,0.09573655860490814,Maleisië
1997,Mexico,0.5821314083192608,Mexico
1997,Poland,0.11192961738705079,Polen
1997,Rep. of Korea,0.3465538675584729,Zuid-Korea
1997,Singapore,0.38251712043434294,Singapore
1997,USA,1.6811043882285386,VS
1997,Viet Nam,0.002944634249054433,Vietnam
1998,China,0.9680928155751797,China
1998,Germany,0.9459922485681068,Duitsland
1998,Japan,3.091444052540867,Japan
1998,Malaysia,0.11055746558271938,Maleisië
1998,Mexico,0.5145073837915006,Mexico
1998,Poland,0.1515179495372926,Polen
1998,Rep. of Korea,0.34517887143527065,Zuid-Korea
1998,Singapore,0.30514178088285804,Singapore
1998,USA,1.5095001446449736,VS
1998,Viet Nam,0.0013132461463248475,Vietnam
1999,China,1.2578562743817785,China
1999,Germany,0.847195524495219,Duitsland
1999,Japan,3.7352411488594854,Japan
1999,Malaysia,0.179384075626137,Maleisië
1999,Mexico,0.5561254055550925,Mexico
1999,Poland,0.12683676628573776,Polen
1999,Rep. of Korea,0.35711665459556113,Zuid-Korea
1999,Singapore,0.2886135971289334,Singapore
1999,USA,1.6350308822616313,VS
1999,Viet Nam,0.006026893040171605,Vietnam
2000,China,1.811576330868995,China
2000,Germany,0.8656099989029457,Duitsland
2000,Japan,4.547032253379765,Japan
2000,Malaysia,0.2367661962971068,Maleisië
2000,Mexico,0.7647373962254506,Mexico
2000,Poland,0.14741506601553994,Polen
2000,Rep. of Korea,0.36660494282604517,Zuid-Korea
2000,Singapore,0.3037396668062198,Singapore
2000,USA,1.86064674849908,VS
2000,Viet Nam,0.008551967429818404,Vietnam
2001,China,1.8374621332620769,China
2001,Germany,1.0823312203018234,Duitsland
2001,Japan,3.226521528203195,Japan
2001,Malaysia,0.2345282314443273,Maleisië
2001,Mexico,0.8903174299879728,Mexico
2001,Poland,0.14835390221142747,Polen
2001,Rep. of Korea,0.3890122435242012,Zuid-Korea
2001,Singapore,0.2459676275615644,Singapore
2001,USA,1.6450836702546796,VS
2001,Viet Nam,0.016525026221989605,Vietnam
2002,China,2.3292310743396545,China
2002,Germany,1.1218628248213216,Duitsland
2002,Japan,3.058688421323495,Japan
2002,Malaysia,0.27744518014479097,Maleisië
2002,Mexico,0.7558331304156994,Mexico
2002,Poland,0.17329977104820174,Polen
2002,Rep. of Korea,0.5379883945531799,Zuid-Korea
2002,Singapore,0.2842375563900906,Singapore
2002,USA,1.410562315784725,VS
2002,Viet Nam,0.030709889582676196,Vietnam
2003,China,3.3207685070964694,China
2003,Germany,1.2397922911180468,Duitsland
2003,Japan,3.3513159699542006,Japan
2003,Malaysia,0.23273031840593356,Maleisië
2003,Mexico,0.6956186710000236,Mexico
2003,Poland,0.24461713005627075,Polen
2003,Rep. of Korea,0.7304219074801328,Zuid-Korea
2003,Singapore,0.3768651208476466,Singapore
2003,USA,1.4346014303710573,VS
2003,Viet Nam,0.022426730570035924,Vietnam
2004,China,4.542285565138434,China
2004,Germany,1.515169562835347,Duitsland
2004,Japan,3.4954978266116594,Japan
2004,Malaysia,0.24169130056855237,Maleisië
2004,Mexico,0.6799767384604493,Mexico
2004,Poland,0.2323700021178398,Polen
2004,Rep. of Korea,0.9629738309998918,Zuid-Korea
2004,Singapore,0.44138574477875936,Singapore
2004,USA,1.5647474509443335,VS
2004,Viet Nam,0.02618017969701536,Vietnam
2005,China,5.705143781624273,China
2005,Germany,1.5500594772161473,Duitsland
2005,Japan,3.53496383002652,Japan
2005,Malaysia,0.25635692274856053,Maleisië
2005,Mexico,0.695962190035621,Mexico
2005,Poland,0.27676480809404935,Polen
2005,Rep. of Korea,1.2265378608526991,Zuid-Korea
2005,Singapore,0.5121340293377162,Singapore
2005,USA,1.8312997062671004,VS
2005,Viet Nam,0.03195125271958838,Vietnam
2006,China,6.97993536791573,China
2006,Germany,1.6133962959861636,Duitsland
2006,Japan,3.5222902558709244,Japan
2006,Malaysia,0.3527881159326091,Maleisië
2006,Mexico,0.7139629188660834,Mexico
2006,Poland,0.3540907605987098,Polen
2006,Rep. of Korea,1.49792174098505,Zuid-Korea
2006,Singapore,0.44527562399900744,Singapore
2006,USA,1.9242371207667863,VS
2006,Viet Nam,0.04324495351474533,Vietnam
2007,China,6.606464218705119,China
2007,Germany,2.072618352044034,Duitsland
2007,Japan,3.8327833207476574,Japan
2007,Malaysia,0.39606180926513357,Maleisië
2007,Mexico,0.7133788224211088,Mexico
2007,Poland,0.4896759116219179,Polen
2007,Rep. of Korea,2.2116740684580143,Zuid-Korea
